require,Route,Route: Lodgings,1,RentLodgings
require,Clothing,Bundle of Ragged Clothing,<1,SellRaggedClothing
require,Hat,Prisoner's Mask,<1,SellPrisonersMask
require,Gloves,Pair of Iron Manacles,<1,SellManacles
require,Boots,Pair of Leg Irons,<1,SellLegIrons
require,Route,Route: Mrs Plenty's Most Distracting Carnival,1
require,Stories,A Name Whispered in Darkness,2,CatCatcher
require,Stories,A Name Signed with a Flourish,3,NameFlourish3
require,Stories,A Name Scrawled in Blood,2,NameScrawled2
require,Stories,A Name in Seven Secret Alphabets,2,NameSecret2
require,Contacts,Renown: Bohemians,5,RenownBohemiansCarnival
require,Currency,Penny,1000000,Penny
require,Contacts,Renown: The Docks,5,RenownDocksCarnival
